Species,KS_Statistic,P_Value
Arabidopsis,0.5322964923891462,0.07517762483808259
Asplenium,0.5018964536317088,0.0025433093992346923
Barley,0.18963278368612058,0.0030309941595412612
Brachypodium,0.5487040755748683,4.98929622378761e-07
Brassica,0.49640287769784175,0.06887407585038674
Isoetes,0.3708513053348468,0.001358686665911213
Lemna,0.4419831223628692,0.027159329083091446
Lilium,0.26160214391771985,0.0016539109482321956
Marislea,0.5126591395109196,2.3479293917878263e-07
Selaginella,0.3340091662013772,0.0011003983114546978
Sweetpea,0.12925315643055857,0.5588089676607186
Switchgrass,0.19899382347081096,0.6591824350074893
Tomato,0.45436406747093,1.9270838353431044e-08
Triticum,0.416650575063096,1.0548941286882092e-05
